plan#,Ap,Bp,L,F,plan_reward,plan_time,obs_dis,loss,mae,mean_q
2647,0.95,0.65,1.0,0.2578958293402431,-0.0942715739324,0.0,0.0,1.2332042,0.7142377,2.6243672
2648,1.0,0.65,1.0,0.31505968465064293,-0.0889110667601,0.0,0.0,1.2328309,0.7144874,2.62895
2649,1.0,0.65,1.0,0.29607204790621267,-0.0859157449675,0.0,0.0,1.2319502,0.71440643,2.631233
2650,0.95,0.65,1.0,0.2825931301924679,-0.0927891117635,0.0,0.0,0.99328756,0.715436,2.631442
2651,1.0,0.65,1.0,0.28018363144120595,-0.0961467853736,0.0,0.0,0.7186418,0.7068048,2.6513848
2652,1.0,0.65,1.0,0.21286764485645182,-0.0699289707198,0.0,0.0,1.3373166,0.97545254,3.642401
2653,1.0,0.65,1.0,0.2827268326750755,-0.0711432919486,0.0,0.0,1.3292155,0.9739755,3.637506
2654,1.0,0.65,1.0,0.30346437259709463,-0.0709260830959,0.0,0.0,1.3144127,0.9719529,3.629896
2655,1.0,0.65,1.0,0.2665913225470819,-0.079326526133,0.0,0.0,1.3097255,0.9698123,3.6198745
2656,1.0,0.65,1.0,0.20521904220220344,-0.0777580245183,0.0,0.0,1.2855448,0.9669109,3.6076992
2657,0.95,0.65,1.0,0.22514480096875933,-0.0772630453912,0.0,0.0,0.8797558,0.9637052,3.5936332
2658,1.0,0.65,1.0,0.2265942366519132,-0.0685518810971,0.0,0.0,1.2223685,0.9600162,3.5795188
2659,1.0,0.65,1.0,0.07436571778559532,-0.0685913760528,0.0,0.0,1.1960759,0.95637935,3.5638132
2660,0.95,0.65,1.0,0.08410185484186021,-0.0594382823383,0.0,0.0,0.80262786,0.95216626,3.5467265
2661,1.0,0.65,1.0,0.1371330161835485,30.0,0.0,0.0,350.33087,1.8729793,3.5299835
2662,1.0,0.65,1.0,0.29500940218330196,-0.128748976188,0.0,0.0,1.0810946,0.7429382,2.766686
2663,1.0,0.65,1.0,0.4632588952053886,-0.131173957008,0.0,0.0,1.1163938,0.74719024,2.789208
