epi#,epi_reward,epi_steps
145,157.802390833,22
146,184.390209843,18
147,133.68,10
148,118.199105058,23
149,180.48,17
150,185.400130529,20
151,198.86,20
152,183.14,20
153,178.808349507,20
154,174.58,22
155,154.918310177,18
156,136.445832802,20
157,102.531815803,20
158,135.265792977,20
159,195.5,20
160,187.88,20
161,189.28,20
162,116.51740303188939,22
163,184.78,18
164,192.176459321,40
165,176.84725540351252,20
166,189.86474903,20
167,182.0,20
168,201.506155421,20
169,180.036181433,20
170,174.372852389,20
171,171.406499985,20
172,195.66,20
173,183.72,20
174,169.913489564,20
175,77.7100806149,20
176,120.58106475803469,20
177,206.22,20
178,207.24,20
179,201.76,20
180,197.1,20
181,18.30351543653839,20
182,182.055631738,20
183,122.052006706,20
184,163.30973721,20
185,212.84,20
186,210.211617208,20
187,172.917778505,20
188,164.0465888353548,20
189,202.62,20
190,88.29250851578374,20
191,184.43459107068125,20
192,200.079978524,20
193,113.315023767,20
194,197.64,20
195,115.410309662,20
196,103.280051147,19
197,197.32,21
198,183.52,20
199,201.924270416,20
200,187.398955135,18
201,166.26,12
202,198.661556799,20
203,194.26,20
204,193.56,19
205,183.98,19
206,167.1707849710518,12
207,176.954303856,17
208,157.143222196,13
209,191.44,20
210,153.078999223,20
211,209.670878109,20
212,190.050202273,19
213,205.623378768,21
214,184.399258508,18
215,183.689950538,12
216,164.731392637,16
217,143.241976717,14
218,143.685437262,17
219,174.3,13
220,41.0137788503,20
221,164.014790751,18
222,184.866583153,12
223,165.62,16
224,195.750735502,14
225,165.13076341,16
226,160.488238448,14
227,105.015397222,18
228,183.46,12
229,165.165976203,16
230,170.18938058259712,14
231,110.930349284,16
232,159.55212565139465,14
233,135.67234942894805,20
234,141.838445978,15
235,119.42477396,15
236,71.0926662219,15
237,111.784511603,15
238,196.96,20
239,129.05845653,16
240,186.22,14
241,139.02646885,13
242,165.293186989,17
243,176.655289029,16
244,139.825127062,13
245,162.215901682,17
246,122.420978574,14
247,26.6058130399,15
248,192.68,15
249,157.658816105,15
250,132.064576619,13
251,148.287507646,12
252,176.420545843,38
253,178.0,12
254,140.187210567,19
255,194.847376577,19
256,153.601880935,12
257,139.590558887,13
258,144.540420898,13
259,201.823644522,29
260,184.854068798,14
261,145.304484398,15
262,147.338794837,16
263,135.38,12
264,181.265535732,18
265,140.2,13
266,136.730020337,43
267,187.45984062,14
268,124.587300887,12
269,148.443565733,12
270,126.5715821,12
271,190.8,14
272,122.28,10
273,43.2139520788,17
274,193.051921415,29
275,182.42,14
276,16.206431359496094,20
277,160.28,15
278,191.74,15
279,125.66,11
280,28.60493570566048,16
281,101.111674281,6
282,117.52,8
283,76.9543491266,9
284,143.262990734,14
285,129.02025455541195,9
286,172.52817805,15
287,172.356686202,10
288,169.794282797,12
289,135.041972662,15
290,142.404793529,9
291,106.781888787,10
292,122.510140765,16
293,145.892465434,14
294,131.76159012,14
295,193.916597536,12
296,86.2969286776,12
297,133.946794777,12
298,128.2,8
299,177.54,17
300,123.4,11
301,128.26,11
302,125.691425674,9
303,125.915919206,10
304,119.68518250040316,14
305,123.061850063,16
306,88.02633808879487,10
307,171.383592269,17
308,190.92,13
309,79.0626388924,11
310,149.123680583,15
311,173.081823993,14
312,121.516602017,10
313,126.006091192,10
314,65.19388078016173,10
315,97.0187297948,13
316,161.5,14
317,118.599758749,7
318,115.84,6
319,119.988797654,10
