plan#,Ap,Bp,L,F,dp_obs,min_obs_dis,plan_reward,plan_time,obs_dis,loss,mae,mean_q
1557,1.0,0.1,1.0,1.00010494583e-05,4.24501419067,0.814138531685,-10.793505628513493,0.0,0.0,20.345467,6.6434116,-4.412787
1558,1.0,0.1,1.0,1.00415684431e-05,3.8817179203,0.815061688423,-10.510485064176406,0.0,0.0,18.370905,6.6771674,-4.4633827
1559,1.0,0.1,1.0,1.10962953574e-05,3.55874013901,0.819439589977,-10.236198497939572,0.0,0.0,18.80409,6.7421637,-4.5144873
1560,1.0,0.15,1.0,0.002076861753,3.21426129341,0.816044449806,-10.147272536584058,0.0,0.0,13.093854,6.7196712,-4.573177
1561,1.0,0.1,1.0,0.53561829229,2.25636553764,0.815685987473,-9.728443940661865,0.0,0.0,13.338812,6.7988787,-4.631615
1562,1.0,0.1,1.0,3.63175646356,2.0666282177,1.63323152065,-9.523063781368123,0.0,0.0,16.049011,6.887738,-4.6891317
1563,1.0,0.1,0.95,10.0,1.75660467148,0.815073490143,-9.790446467056263,0.0,0.0,8.976508,8.063389,-5.725581
1564,1.05,0.1,0.9,10.0,1.49256229401,1.21724975109,-10.34748011497024,0.0,0.0,17.420683,6.996789,-4.8180857
1565,1.05,0.1,0.95,10.0,1.24175941944,1.20999002457,-9.80341840619976,0.0,0.0,13.799077,8.269001,-5.861632
1566,1.0,0.1,1.0,10.0,1.06183695793,1.17036056519,-9.732491998423203,0.0,0.0,11.475796,8.309347,-5.9376183
1567,1.0,0.1,1.0,10.0,1.06861281395,0.865810930729,-9.008651619367056,0.0,0.0,9.286871,8.370254,-6.012161
1568,1.0,0.1,1.0,10.0,1.13086414337,0.668141186237,-8.848078179213045,0.0,0.0,6.1085405,8.450415,-6.0585423
1569,1.0,0.1,1.0,10.0,1.18827044964,0.994539558887,-7.553165444884767,0.0,0.0,6.325552,5.259724,-3.4978175
1570,1.05,0.1,0.95,10.0,1.24166965485,1.19475388527,-6.817247050523417,0.0,0.0,2.888427,5.2896094,-3.581781
1571,1.1,0.1,0.9,10.0,1.49421751499,1.28373384476,-5.986776579203604,0.0,0.0,1.0974207,5.340583,-3.6650283
1572,1.1,0.1,0.95,10.0,1.57168638706,1.38794863224,-5.664210675434886,0.0,0.0,1.0174377,5.4340973,-3.7450316
1573,1.1,0.1,1.0,10.0,1.78057670593,1.73131477833,-4.908243269596819,0.0,0.0,0.1771977,5.482246,-3.8222222
1574,1.1,0.15,1.0,10.0,2.01571249962,2.02191925049,-3.18,0.0,0.0,2.2261434,5.577902,-3.894246
1575,1.1,0.15,1.0,2.25705269032,2.35595941544,2.30096697807,-2.92,0.0,0.0,1.1568218,5.6489677,-3.9543476
1576,1.05,0.1,1.0,0.0255618130729,2.67437291145,2.62941217422,-2.68,0.0,0.0,2.3377678,5.7087197,-4.003728
1577,1.0,0.1,1.0,0.00142899314963,2.95366358757,2.96917939186,-2.42,0.0,0.0,3.008051,5.7577424,-4.0435
1578,1.05,0.1,0.95,5.37666360029e-05,3.29440975189,3.09926080704,-2.18,0.0,0.0,3.8415885,5.7947154,-4.0738373
1579,1.0,0.1,0.95,1.17379611416e-05,3.60817122459,3.52991127968,-2.08,0.0,0.0,5.181601,5.812826,-4.092484
1580,1.05,0.1,0.9,1.00765174404e-05,3.91475367546,3.94257545471,-1.76,0.0,0.0,5.135942,5.826858,-4.100487
1581,1.05,0.1,0.95,1.00000024555e-05,4.94820928574,4.01065206528,-1.46,0.0,0.0,4.8425093,5.827312,-4.0975556
1582,1.0,0.1,1.0,1.00000024555e-05,4.94820928574,4.40407514572,-1.42,0.0,0.0,5.966412,5.8094916,-4.0842175
1583,1.0,0.1,1.0,1.00000000002e-05,5.88180923462,4.95399188995,-1.14,0.0,0.0,5.762054,5.7920237,-4.064288
1584,1.0,0.1,1.0,1e-05,6.6556429863,5.88180923462,-0.76,0.0,0.0,7.005794,5.7705636,-4.0348186
1585,1.05,0.1,0.95,1e-05,7.27059459686,5.88180923462,100.0,0.0,0.0,5442.915,9.4417,-3.9957283
1586,1.05,0.1,1.0,1e-05,6.17132091522,1.08186638355,-11.564611459321728,0.0,0.0,19.4813,7.756133,-5.61607
1587,1.05,0.1,1.0,1.00000000003e-05,5.75545072556,1.08186638355,-11.324611459321728,0.0,0.0,23.395477,6.4833717,-4.5699587
1588,1.0,0.1,1.0,1.00000000064e-05,5.43784189224,0.67220133543,-12.35272919731506,0.0,0.0,30.06688,6.3253536,-4.3920684
1589,1.05,0.1,0.95,1.00000007351e-05,4.9694314003,0.936505019665,-11.116476448019034,0.0,0.0,23.84072,6.155818,-4.238064
1590,1.0,0.1,1.0,1.00000237746e-05,4.62214136124,0.926995873451,-10.924150837439868,0.0,0.0,26.498652,6.044294,-4.1126113
1591,1.05,0.1,0.95,1.48664260067e-05,3.41650533676,0.928048312664,-10.541074965302542,0.0,0.0,27.092884,5.9621725,-4.008938
1592,1.1,0.1,0.9,5.15337728095e-05,3.20853090286,0.927878379822,-10.261571394052414,0.0,0.0,25.8497,5.8813477,-3.920559
1593,1.05,0.1,0.95,0.00278593230648,2.79065108299,0.924966871738,-10.030089967712723,0.0,0.0,21.541298,5.786002,-3.840407
1594,1.1,0.1,0.9,0.0694824616086,2.46934700012,0.924093723297,-9.592649488459106,0.0,0.0,22.269844,5.7627134,-3.7764904
1595,1.15,0.1,0.85,1.31278655969,2.17092442513,0.922900974751,-9.256149488769356,0.0,0.0,20.395287,5.722883,-3.732559
1596,1.1,0.1,0.8,10.0,1.81573784351,0.918500781059,-9.049097581392733,0.0,0.0,13.168299,5.620407,-3.7057543
1597,1.15,0.1,0.75,10.0,1.52152276039,0.917872130871,-8.710952115008398,0.0,0.0,17.3918,5.6788154,-3.6874986
1598,1.15,0.1,0.8,10.0,1.28014528751,0.917909383774,-8.430842185523154,0.0,0.0,14.169853,5.6482077,-3.6825707
1599,1.15,0.1,0.85,10.0,1.03935921192,0.671339988708,-8.875980225170931,0.0,0.0,13.584359,5.6512575,-3.6841636
1600,1.2,0.1,0.8,10.0,0.895539462566,0.667119026184,-8.57195218099407,0.0,0.0,19.776892,4.5047245,-2.4859772
1601,1.15,0.1,0.75,10.0,1.01710093021,0.802329778671,-7.572390788729665,0.0,0.0,7.7105665,4.3879533,-2.5052738
1602,1.2,0.1,0.7,10.0,1.14315140247,0.967973589897,-6.746747697753289,0.0,0.0,9.785908,4.4803233,-2.527454
1603,1.15,0.1,0.7,10.0,1.3672888279,1.26550221443,-5.724434896306629,0.0,0.0,2.9282112,4.39849,-2.5558784
1604,1.15,0.1,0.75,10.0,1.62366187572,1.48855435848,-5.027700350003976,0.0,0.0,2.4303052,4.437728,-2.5845428
1605,1.2,0.1,0.7,10.0,1.88914251328,1.76882588863,-4.420078614360001,0.0,0.0,2.0283308,4.4756055,-2.6130092
1606,1.25,0.1,0.65,0.990226695693,2.25275754929,2.1747674942,-2.96,0.0,0.0,0.13795678,4.4488444,-2.6425734
1607,1.3,0.1,0.6,0.0294404382045,2.58870625496,2.59475517273,-2.66,0.0,0.0,0.019680006,4.4630427,-2.670268
1608,1.3,0.1,0.65,0.00182781013775,2.88360643387,2.77201581001,-2.36,0.0,0.0,0.16224468,4.4843593,-2.695644
1609,1.35,0.1,0.6,4.79830070233e-05,3.25672101974,3.19871163368,-2.24,0.0,0.0,0.035787288,4.5104704,-2.7178533
